Stroke#,Radical,Meaning,Reading,Reading-R,Position-J,Position-R,Importance,Origin,Variant-of,Variant-of-Reading
4,⺝,"moon, month, period",つきへん,tsukihen,へん,hen,,,⽉,つき
4,,"meat, flesh",にくづき,nikuzuki,,,Important,,⾁,にく
4,⽊,"tree, wood",き,ki,,,,Kangxi,,
4,,"tree, wood",きへん,kihen,へん,hen,Important,,⽊,き
4,⽋,"to lack, yawn",あくび,akubi,,,,Kangxi,,
4,⽌,to stop,とめる,tomeru,,,,Kangxi,,
4,⽍,"death & dying, to decompose",がつ,gatsu,,,,Kangxi,,
4,,"death & dying, to decompose",がつへん,gatsuhen,へん,hen,,,⽍,がつ
4,⽎,"lance shaft, action",るまた,rumata,つくり,tsukuri,,Kangxi,,
4,⽏,"not, mother",なかれ,nakare,,,,Kangxi,,
4,⽐,to compare,くらべる,kuraberu,,,,Kangxi,,
4,⽑,hair,け,ke,,,,Kangxi,,
4,⽒,"family, clan",うじ,uji,,,,Kangxi,,
4,⽓,"steam, air",きがまえ,kigamae,"かまえ, きがまえ","kamae, kigamae",,Kangxi,,
4,⽔,water,みず,mizu,,,,Kangxi,,
4,⽕,fire,ひ,hi,,,,Kangxi,,
4,,fire,ひへん,hihen,へん,hen,Important,,⽕,ひ
4,⺣,fire,れっか,rekka,あし,ashi,Important,,⽕,ひ
4,⽖,"claw, nail",つめ,tsume,,,,Kangxi,,
4,⺤,"claw, nail",つめかんむり,tsumekanmuri,かんむり,kanmuri,,,⽖,つめ
4,爫,"claw, nail",つめかんむり,tsumekanmuri,かんむり,kanmuri,,,⽖,つめ
4,⽗,father,ちち,chichi,,,,Kangxi,,
4,⽘,to mix,こう,kou,,,,Kangxi,,
4,⽙,split wood,しょうへん,shouhen,へん,hen,,Kangxi,,
4,⽚,split wood,かた,kata,,,,Kangxi,,
4,,split wood,かたへん,katahen,へん,hen,,,⽚,かた
4,,"fang, canine tooth",きば,kiba,,,,Kangxi,,
4,⽜,cow,うし,ushi,,,,Kangxi,,
4,,cow,うしへん,ushihen,へん,hen,,,⽜,うし
4,⽝,dog,いぬ,inu,,,,Kangxi,,
4,,"jewelry, jeweled king",おうへん,ouhen,へん,hen,Important,,⽟,たま
4,⺭,"altar, festival, religious service",しめすへん,shimesuhen,へん,hen,Important,,⽰,しめす
4,㓁,net,あみがしら,amigashira,,,,,⽹,あみ
4,⺹,"old, old-age",おいかんむり,oikanmuri,かんむり,kanmuri,,,⽼,おいかんむり
5,⽞,darkness,げん,gen,,,,Kangxi,,
5,⽟,jewelry,たま,tama,,,,Kangxi,,
5,,melon,うり,uri,,,,Kangxi,,
5,⽡,tile,かわら,kawara,,,,Kangxi,,
5,⽢,sweet,あまい,amai,,,,Kangxi,,
5,⽣,"birth, to be born, live",うまれる,umareru,,,,Kangxi,,
5,⽤,to use,もちいる,mochiiru,,,,Kangxi,,
5,⽥,rice paddy,た,ta,,,,Kangxi,,
5,,rice paddy,たへん,tahen,へん,hen,,,⽥,た
5,⽦,bolt of cloth,ひき,hiki,,,,Kangxi,,
5,⺪,bolt of cloth,ひきへん,hikihen,へん,hen,,,⽦,ひき
5,⽧,sickness,やまいだれ,yamaidare,たれ,tare,Important,Kangxi,,
5,⽨,"outspread legs, departure",はつがしら,hatsugashira,かんむり,kanmuri,,Kangxi,,
5,⽩,white,しろ,shiro,,,,Kangxi,,
5,,white,はくへん,hakuhen,へん,hen,,,⽩,しろ
5,⽪,"skin, hide",けがわ,kegawa,,,,Kangxi,,
5,⽫,"plate, bowl",さら,sara,,,,Kangxi,,
5,⽬,eye,め,me,,,,Kangxi,,
5,,eye,めへん,mehen,へん,hen,Important,,⽬,め
5,,eye,よこめ,yokome,かんむり,kanmuri,,,⽬,め
5,⽭,halberd,ほこ,hoko,,,,Kangxi,,
5,,halberd,ほこへん,hokohen,へん,hen,,,⽭,ほこ
5,⽮,arrow,や,ya,,,,Kangxi,,
5,,arrow,やへん,yahen,へん,hen,,,⽮,や
5,⽯,stone,いし,ishi,,,,Kangxi,,
5,,stone,いしへん,ishihen,へん,hen,,,⽯,いし
5,⽰,"altar, festival, religious service",しめす,shimesu,,,,Kangxi,,
5,⽱,footprint,じゅうのあし,juunoashi,,,,Kangxi,,
5,⽲,grain,のぎへん,nogihen,へん,hen,Important,Kangxi,,
5,⽳,"hole, cave",あな,ana,,,,Kangxi,,
5,,"hole, cave",あなかんむり,anakanmuri,かんむり,kanmuri,Important,,⽳,あな
5,⽴,to stand,たつ,tatsu,,,,Kangxi,,
5,,to stand,たつへん,tatsuhen,へん,hen,,,⽴,たつ
5,,"fang, canine tooth",きば,kiba,,,,,,きば
5,,"fang, canine tooth",きばへん,kibahen,へん,hen,,,⽛,きば
5,氺,water,したみず,shitamizu,,,,,⽔,みず
5,⺫,net,あみがしら,amigashira,かんむり,kanmuri,,,⽹,あみ
5,𦉰,net,あみがしら,amigashira,,,,,⽹,あみ
5,⻂,clothing,ころもへん,koromohen,へん,hen,Important,,⾐,ころも
5,⺛,not,むにょう,munyou,,,,,⽆,むにょう
6,⽵,bamboo,たけ,take,,,,Kangxi,,
6,⺮,bamboo,たけかんむり,takekanmuri,かんむり,kanmuri,Important,,⽵,たけ
6,⽶,rice,こめ,kome,,,,Kangxi,,
6,,rice,こめへん,komehen,へん,hen,Important,,⽶,こめ
6,⽷,thread,いと,ito,,,,Kangxi,,
6,,thread,いとへん,itohen,へん,hen,Important,,⽷,いと
6,⽸,earthen jar,みずがめ,mizugame,,,,Kangxi,,
6,⽹,net,あみめ,amime,,,,Kangxi,,
6,⽺,sheep,ひつじ,hitsuji,,,,Kangxi,,
6,⺷,sheep,ひつじ,hitsuji,,,,,⽺,ひつじ
6,羽,"feather, wing",はね,hane,,,,Kangxi,,
6,⽻,"feather, wing",はね,hane,,,,,羽,はね
6,⽼,"old, old-age",おいかんむり,oikanmuri,,,,Kangxi,,
6,⽽,and also,しこうして,shikoushite,,,,Kangxi,,
6,⽾,plow,らいすき,raisuki,へん,hen,,Kangxi,,
6,⽿,ear,みみ,mimi,,,,Kangxi,,
6,,ear,みみへん,mimihen,へん,hen,,,⽿,みみ
6,⾀,writing brush,ふでづくり,fudezukuri,,,,Kangxi,,
6,⾁,"flesh, meat",にく,niku,,,,Kangxi,,
6,⾂,"retainer, minister",しん,shin,,,,Kangxi,,
6,⾃,self,みずから,mizukara,,,,Kangxi,,
6,⾄,"to arrive, reach",いたる,itaru,,,,Kangxi,,
6,,"to arrive, reach",いたるへん,itaruhen,へん,hen,,,⾄,いたる
6,⾅,"mortar, quern",うす,usu,,,,Kangxi,,
6,⾆,tongue,した,shita,,,,Kangxi,,
6,⾇,"contrary, to err",まいあし,maiashi,,,,Kangxi,,
6,⾈,"ship, boat",ふね,fune,,,,Kangxi,,
6,,"ship, boat",ふねへん,funehen,へん,hen,,,⾈,ふね
6,⾉,boundary,こん,kon,,,,Kangxi,,
6,⾊,color,いろ,iro,,,,Kangxi,,
6,⾋,"grass, plant",くさ,kusa,,,,Kangxi,,
6,⾌,tiger,とらがしら,toragashira,かんむり,kanmuri,,Kangxi,,
